feature,pearson,abs_pearson,kept
X171,0.012466542697516094,0.012466542697516094,True
X222,0.012357845969487365,0.012357845969487365,True
X263,0.012351546074305908,0.012351546074305908,True
X521,0.012341735337439427,0.012341735337439427,True
X483,0.012303518953332862,0.012303518953332862,True
X3,0.01226949919160877,0.01226949919160877,True
X558,0.012256541012774812,0.012256541012774812,True
X309,0.012227045651599504,0.012227045651599504,True
X351,0.012227045651599504,0.012227045651599504,True
X393,0.012227045651599504,0.012227045651599504,True
X61,0.012208616130102691,0.012208616130102691,True
X560,0.012203814757116087,0.012203814757116087,True
X158,0.012165449139407728,0.012165449139407728,True
X116,0.012165449139407728,0.012165449139407728,True
X74,0.012165449139407728,0.012165449139407728,True
X155,-0.01210435741605207,0.01210435741605207,True
X587,0.012092528489707648,0.012092528489707648,True
X531,0.012082276817620662,0.012082276817620662,True
X580,0.012065031062982779,0.012065031062982779,True
X737,0.01200678872570769,0.01200678872570769,True
X553,-0.011856798775103514,0.011856798775103514,True
X732,-0.011814644527890805,0.011814644527890805,True
X527,0.011695871292895534,0.011695871292895534,True
X353,-0.011630728749758394,0.011630728749758394,True
X490,0.011622904273882193,0.011622904273882193,True
X661,0.01161308943344508,0.01161308943344508,True
X102,0.011608091546761748,0.011608091546761748,True
X460,-0.011586920862331764,0.011586920862331764,True
X658,0.011581646578275094,0.011581646578275094,True
X739,0.01152193575277639,0.01152193575277639,True
X408,-0.011487174927404033,0.011487174927404033,True
X328,0.011480782933937391,0.011480782933937391,True
X345,-0.011438585523329216,0.011438585523329216,True
X429,-0.011438585523329216,0.011438585523329216,True
X387,-0.011438585523329216,0.011438585523329216,True
X90,-0.011400843787675414,0.011400843787675414,True
X715,0.01138085896176514,0.01138085896176514,True
X76,0.011380020429720729,0.011380020429720729,True
X357,0.011343487297576076,0.011343487297576076,True
X315,0.011343487297576076,0.011343487297576076,True
X399,0.011343487297576076,0.011343487297576076,True
X555,0.01131413558781367,0.01131413558781367,True
X257,0.01127059231945663,0.01127059231945663,True
X493,0.011268213800293064,0.011268213800293064,True
X668,0.011253614363795864,0.011253614363795864,True
X359,-0.011193196262070958,0.011193196262070958,True
X714,0.011125347834349104,0.011125347834349104,True
X747,0.011104585082937773,0.011104585082937773,True
X566,0.011100940757577882,0.011100940757577882,True
X486,0.011088575088759529,0.011088575088759529,True
X416,0.011032869595345829,0.011032869595345829,True
X326,-0.011020516299487625,0.011020516299487625,True
X522,0.010927784788083723,0.010927784788083723,True
X660,0.010917809307155277,0.010917809307155277,True
X215,0.010898441702737705,0.010898441702737705,True
X421,0.010708376691784127,0.010708376691784127,True
X174,0.010663294103815646,0.010663294103815646,True
X317,-0.010653259866037665,0.010653259866037665,True
X763,0.010606594282554043,0.010606594282554043,True
X639,0.010570418684080329,0.010570418684080329,True
X398,0.010554224461570942,0.010554224461570942,True
X93,0.010539792067691399,0.010539792067691399,True
X771,-0.010505379136104496,0.010505379136104496,True
X70,0.01036206292814734,0.01036206292814734,True
X64,0.010306868867097429,0.010306868867097429,True
X311,-0.010286774103368106,0.010286774103368106,True
X456,0.010218924220269552,0.010218924220269552,True
X182,-0.010198192708672178,0.010198192708672178,True
X98,-0.010198192708672178,0.010198192708672178,True
X140,-0.010198192708672178,0.010198192708672178,True
